link,rating,date,user_name,description,likes,sentiment_score
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGbF8tX3J3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDFl_-_rwE%7CCgsI_Lm8qgYQgMfkOA%7C?hl=en,5.0,11 months ago,Zaw Ko Ko Oo,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURzOTZuRnJ3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDs96nFrwE%7CCgwI6bCc8wUQiI2TvwE%7C?hl=en,4.0,4 years ago,Gnaneswar K,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVanYzTHNRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDUjv3LsQE%7CCgsIsfT_6gUQ-KnECg%7C?hl=en,5.0,5 years ago,Karthik Sekar,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN5NF9TanNnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICy4_SjsgE%7CCgwIgbKUgQYQoPyikQE%7C?hl=en,4.0,3 years ago,Sajith Krishnan,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURnM2EyY3RRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDg3a2ctQE%7CCgwI7vfR1gUQgMmQsgI%7C?hl=en,5.0,6 years ago,Saravanan SK,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURLOEtyVXF3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDK8KrUqwE%7CCgwI7cughAYQwMHarwI%7C?hl=en,5.0,3 years ago,Sultan Ibrahim Syed Ishaq,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRd2J1d3RRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICQwbuwtQE%7CCgwIgqPhpwYQuIK65gI%7C?hl=en,5.0,a year ago,Vijay S,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQwZ0tfV3RnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgID0gK_WtgE%7CCgwImteh7QUQoJaTxQM%7C?hl=en,1.0,4 years ago,Alagappan Murugan,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMwOExTQXR3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIC08LSAtwE%7CCgwIv-rn6wUQ4OSwggM%7C?hl=en,4.0,5 years ago,faiz ahamed,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURZcXFMV3VBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDYqqLWuAE%7CCgsI8rXG5gUQoM3FUw%7C?hl=en,4.0,5 years ago,Sachin Bajaj,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVM2NtU3VnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDU3cmSugE%7CCgsIwJKv6wUQyKLHUQ%7C?hl=en,4.0,5 years ago,S Y,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNJenYzUHVnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICIzv3PugE%7CCgsI5Mq13wUQ_K7pWg%7C?hl=en,4.0,5 years ago,プリンアラモード,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURrcjlfcHVnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDkr9_pugE%7CCgsIjLqh6QUQiPf7WQ%7C?hl=en,3.0,5 years ago,Shashi Kant Thakur,,0,0.0
